Status,Total Lockdown,Total Lockdown,Total Lockdown,Total Lockdown,Total Lockdown,Partially opening,Partially opening,Partially opening,Partially opening,Partially opening,Reopening,Reopening,Reopening,Reopening,Reopening,Reopening,Reopening,Reopening
Month,01/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,01/08/2020,01/09/2020,01/10/2020,01/11/2020,01/12/2020,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021
Ro,2.063294675,2.06062079,2.040438528,2.029424229,2.02515827,2.021362769,2.031177891,2.021759952,2.018492883,2.016249003,2.018391016,2.02229041,2.023533403,2.026659811,2.026131353,2.02892337,2.018017699,2.01080672
